inicio,fim,diff
734346,734347,531.0
734343,734345,-123.0
734337,734340,1420.0
734332,734336,554.0
734331,734331,952.0
734323,734330,3144.0
734315,734322,2869.0
734310,734312,51.0
734305,734309,522.0
734303,734304,-127.0
734302,734302,182.0
734298,734301,95.0
734297,734297,432.0
734296,734296,-171.0
734295,734295,146.0
734294,734294,-1273.0
734290,734291,932.0
734289,734289,-1205.0
734288,734288,659.0
734287,734287,-341.0
734281,734284,1950.0
734280,734280,-252.0
734277,734277,227.0
734275,734276,357.0
734274,734274,843.0
734270,734273,365.0
734269,734269,231.0
734268,734268,-1101.0
734263,734267,1456.0
734259,734262,2298.0
734256,734256,469.0
734254,734255,303.0
734253,734253,172.0
734252,734252,-86.0
734246,734247,1634.0
734245,734245,-1274.0
734242,734242,403.0
734235,734241,2493.0
734234,734234,136.0
734233,734233,-804.0
734225,734232,2634.0
734224,734224,-574.0
734221,734221,238.0
734220,734220,-266.0
734218,734219,1120.0
734217,734217,-197.0
734213,734214,862.0
734211,734212,-845.0
734207,734210,1129.0
734200,734206,-343.0
734198,734199,1902.0
734197,734197,-1138.0
734196,734196,474.0
734193,734193,-49.0
734191,734192,510.0
734189,734190,-7.0
734184,734186,1716.0
734183,734183,-217.0
734178,734182,2342.0
734177,734177,-1549.0
734175,734176,502.0
734172,734172,-1483.0
734171,734171,77.0
734170,734170,-1156.0
734169,734169,1272.0
734163,734168,2615.0
734161,734161,293.0
734156,734158,930.0
734155,734155,308.0
734154,734154,-331.0
734151,734151,217.0
734150,734150,-910.0
734147,734149,1552.0
734143,734144,-9.0
734134,734142,3280.0
734133,734133,-673.0
734127,734129,1223.0
734126,734126,-715.0
734123,734123,677.0
734120,734122,686.0
734116,734119,1237.0
734112,734115,1301.0
734107,734109,2038.0
734101,734106,1509.0
734100,734100,1674.0
734098,734099,-411.0
734093,734095,1709.0
734085,734092,1107.0
734084,734084,50.0
734081,734081,-380.0
734074,734080,2657.0
734072,734073,-87.0
734070,734071,1202.0
734066,734067,626.0
734065,734065,542.0
734063,734064,-1777.0
734053,734060,1896.0
734051,734052,116.0
734042,734050,3072.0
734039,734039,-604.0
734037,734038,1087.0
734036,734036,-470.0
734035,734035,1103.0
734031,734032,-136.0
734030,734030,417.0
734029,734029,-338.0
734024,734028,1622.0
734023,734023,-332.0
734021,734021,68.0
734017,734018,132.0
734015,734016,2802.0
734014,734014,-1324.0
734011,734011,1710.0
734003,734010,1873.0
733996,734002,1856.0
733990,733995,-259.0
733988,733989,417.0
733987,733987,-520.0
733972,733986,6146.0
733969,733969,-1148.0
733968,733968,7.0
733967,733967,-207.0
733966,733966,722.0
733965,733965,-517.0
733959,733961,2606.0
733958,733958,-571.0
733954,733955,495.0
733951,733953,1802.0
733948,733948,887.0
