Data;Fechamento
1993-04-27;0.0113
1993-04-28;0.0114
1993-04-29;0.0116
1993-04-30;0.0117
1993-05-03;0.0119
1993-05-04;0.0120
1993-05-05;0.0122
1993-05-06;0.0123
1993-05-07;0.0125
1993-05-10;0.0128
1993-05-11;0.0128
1993-05-12;0.0129
1993-05-13;0.0131
1993-05-14;0.0133
1993-05-17;0.0134
1993-05-18;0.0136
1993-05-19;0.0137
1993-05-20;0.0139
1993-05-21;0.0141
1993-05-24;0.0143
1993-05-25;0.0144
1993-05-26;0.0146
1993-05-27;0.0150
1993-05-28;0.0152
1993-05-31;0.0152
1993-06-01;0.0154
1993-06-02;0.0156
1993-06-03;0.0158
1993-06-04;0.0160
1993-06-07;0.0162
1993-06-08;0.0164
1993-06-09;0.0166
1993-06-11;0.0168
1993-06-14;0.0170
1993-06-15;0.0172
1993-06-16;0.0175
1993-06-17;0.0177
1993-06-18;0.0179
1993-06-21;0.0181
1993-06-22;0.0184
1993-06-23;0.0186
1993-06-24;0.0188
1993-06-25;0.0190
1993-06-28;0.0193
1993-06-29;0.0195
1993-06-30;0.0198
1993-07-01;0.0202
1993-07-02;0.0205
1993-07-05;0.0205
1993-07-06;0.0207
1993-07-07;0.0210
1993-07-08;0.0213
1993-07-09;0.0215
1993-07-12;0.0218
1993-07-13;0.0221
1993-07-14;0.0223
1993-07-15;0.0226
1993-07-16;0.0229
1993-07-19;0.0232
1993-07-20;0.0234
1993-07-21;0.0237
1993-07-22;0.0240
1993-07-23;0.0243
1993-07-26;0.0246
1993-07-27;0.0249
1993-07-28;0.0252
1993-07-29;0.0255
1993-07-30;0.0259
1993-08-02;0.0262
1993-08-03;0.0265
1993-08-04;0.0269
1993-08-05;0.0272
1993-08-06;0.0276
1993-08-09;0.0279
1993-08-10;0.0283
1993-08-11;0.0287
1993-08-12;0.0290
1993-08-13;0.0294
1993-08-16;0.0298
1993-08-17;0.0302
1993-08-18;0.0305
1993-08-19;0.0309
1993-08-20;0.0313
1993-08-23;0.0317
1993-08-24;0.0322
1993-08-25;0.0326
1993-08-26;0.0330
1993-08-27;0.0335
1993-08-30;0.0339
1993-08-31;0.0344
1993-09-01;0.0349
1993-09-02;0.0359
1993-09-03;0.0364
1993-09-06;0.0364
1993-09-08;0.0369
1993-09-09;0.0374
1993-09-10;0.0380
1993-09-13;0.0385
1993-09-14;0.0391
1993-09-15;0.0396
1993-09-16;0.0402
1993-09-17;0.0408
1993-09-20;0.0414
1993-09-21;0.0419
1993-09-22;0.0426
1993-09-23;0.0432
1993-09-24;0.0438
1993-09-27;0.0445
1993-09-28;0.0452
1993-09-29;0.0459
1993-09-30;0.0466
1993-10-01;0.0473
1993-10-04;0.0480
1993-10-05;0.0488
1993-10-06;0.0495
1993-10-07;0.0511
1993-10-08;0.0518
1993-10-11;0.0518
1993-10-13;0.0526
1993-10-14;0.0535
1993-10-15;0.0543
1993-10-18;0.0551
1993-10-19;0.0560
1993-10-20;0.0568
1993-10-21;0.0577
1993-10-22;0.0586
1993-10-25;0.0595
1993-10-26;0.0604
1993-10-27;0.0614
1993-10-28;0.0623
1993-10-29;0.0633
1993-11-01;0.0643
1993-11-03;0.0652
1993-11-04;0.0663
1993-11-05;0.0673
1993-11-08;0.0683
1993-11-09;0.0704
1993-11-10;0.0715
1993-11-11;0.0715
1993-11-12;0.0726
1993-11-16;0.0737
1993-11-17;0.0749
1993-11-18;0.0760
1993-11-19;0.0772
1993-11-22;0.0784
1993-11-23;0.0808
1993-11-24;0.0821
1993-11-25;0.0821
1993-11-26;0.0834
1993-11-29;0.0847
1993-11-30;0.0858
1993-12-01;0.0870
1993-12-02;0.0881
1993-12-03;0.0893
1993-12-06;0.0905
1993-12-07;0.0917
1993-12-08;0.0930
1993-12-09;0.0942
1993-12-10;0.0955
1993-12-13;0.0968
1993-12-14;0.0982
1993-12-15;0.0996
1993-12-16;0.1010
1993-12-17;0.1024
1993-12-20;0.1039
1993-12-21;0.1053
1993-12-22;0.1069
1993-12-23;0.1084
1993-12-27;0.1115
1993-12-28;0.1132
1993-12-29;0.1149
1993-12-30;0.1167
1993-12-31;0.1186
1994-01-03;0.1204
1994-01-04;0.1224
1994-01-05;0.1243
1994-01-06;0.1263
1994-01-07;0.1283
1994-01-10;0.1303
1994-01-11;0.1324
1994-01-12;0.1344
1994-01-13;0.1387
1994-01-14;0.1409
1994-01-17;0.1409
1994-01-18;0.1432
1994-01-19;0.1456
1994-01-20;0.1480
1994-01-21;0.1504
1994-01-24;0.1529
1994-01-25;0.1555
1994-01-26;0.1582
1994-01-27;0.1609
1994-01-28;0.1637
1994-01-31;0.1668
1994-02-01;0.1700
1994-02-02;0.1732
1994-02-03;0.1765
1994-02-04;0.1798
1994-02-07;0.1832
1994-02-08;0.1866
1994-02-09;0.1902
1994-02-10;0.1937
1994-02-11;0.1973
1994-02-16;0.2010
1994-02-17;0.2085
1994-02-18;0.2124
1994-02-21;0.2124
1994-02-22;0.2162
1994-02-23;0.2201
1994-02-24;0.2242
1994-02-25;0.2283
1994-02-28;0.2317
1994-03-01;0.2354
1994-03-02;0.2391
1994-03-03;0.2427
1994-03-04;0.2465
1994-03-07;0.2503
1994-03-08;0.2542
1994-03-09;0.2581
1994-03-10;0.2621
1994-03-11;0.2662
1994-03-14;0.2704
1994-03-15;0.2747
1994-03-16;0.2791
1994-03-17;0.2835
1994-03-18;0.2880
1994-03-21;0.2929
1994-03-22;0.2981
1994-03-23;0.3034
1994-03-24;0.3087
1994-03-25;0.3142
1994-03-28;0.3198
1994-03-29;0.3254
1994-03-30;0.3321
1994-04-04;0.3385
1994-04-05;0.3450
1994-04-06;0.3517
1994-04-07;0.3584
1994-04-08;0.3653
1994-04-11;0.3723
1994-04-12;0.3795
1994-04-13;0.3868
1994-04-14;0.3942
1994-04-15;0.4018
1994-04-18;0.4095
1994-04-19;0.4174
1994-04-20;0.4253
1994-04-22;0.4334
1994-04-25;0.4414
1994-04-26;0.4494
1994-04-27;0.4575
1994-04-28;0.4653
1994-04-29;0.4735
1994-05-02;0.4813
1994-05-03;0.4891
1994-05-04;0.4971
1994-05-05;0.5053
1994-05-06;0.5136
1994-05-09;0.5220
1994-05-10;0.5307
1994-05-11;0.5396
1994-05-12;0.5487
1994-05-13;0.5579
1994-05-16;0.5673
1994-05-17;0.5769
1994-05-18;0.5866
1994-05-19;0.5965
1994-05-20;0.6066
1994-05-23;0.6168
1994-05-24;0.6272
1994-05-25;0.6378
1994-05-26;0.6483
1994-05-27;0.6590
1994-05-30;0.6705
1994-05-31;0.6819
1994-06-01;0.6939
1994-06-03;0.7060
1994-06-06;0.7184
1994-06-07;0.7309
1994-06-08;0.7439
1994-06-09;0.7571
1994-06-10;0.7706
1994-06-13;0.7844
1994-06-14;0.7985
1994-06-15;0.8129
1994-06-16;0.8278
1994-06-17;0.8430
1994-06-20;0.8586
1994-06-21;0.8748
1994-06-22;0.8916
1994-06-23;0.9087
1994-06-24;0.9261
1994-06-27;0.9441
1994-06-28;0.9625
1994-06-29;0.9813
1994-06-30;1.0000
1994-07-01;1.0000
1994-07-04;0.9400
1994-07-05;0.9320
1994-07-06;0.9150
1994-07-07;0.9100
1994-07-08;0.9200
1994-07-11;0.9230
1994-07-12;0.9200
1994-07-13;0.9200
1994-07-14;0.9250
1994-07-15;0.9350
1994-07-18;0.9350
1994-07-19;0.9350
1994-07-20;0.9320
1994-07-21;0.9320
1994-07-22;0.9370
1994-07-25;0.9360
1994-07-26;0.9340
1994-07-27;0.9360
1994-07-28;0.9400
1994-07-29;0.9400
1994-08-01;0.9320
1994-08-02;0.9200
1994-08-03;0.9100
1994-08-04;0.9100
1994-08-05;0.9120
1994-08-08;0.9060
1994-08-09;0.8910
1994-08-10;0.8920
1994-08-11;0.8940
1994-08-12;0.9060
1994-08-15;0.9010
1994-08-16;0.8960
1994-08-17;0.9010
1994-08-18;0.8970
1994-08-19;0.8940
1994-08-22;0.8870
1994-08-23;0.8870
1994-08-24;0.8840
1994-08-25;0.8880
1994-08-26;0.8880
1994-08-29;0.8960
1994-08-30;0.8870
1994-08-31;0.8890
1994-09-01;0.8850
1994-09-02;0.8860
1994-09-05;0.8920
1994-09-06;0.8860
1994-09-08;0.8810
1994-09-09;0.8720
1994-09-12;0.8530
1994-09-13;0.8600
1994-09-14;0.8550
1994-09-15;0.8570
1994-09-16;0.8570
1994-09-19;0.8540
1994-09-20;0.8540
1994-09-21;0.8570
1994-09-22;0.8550
1994-09-23;0.8570
1994-09-26;0.8620
1994-09-27;0.8680
1994-09-28;0.8640
1994-09-29;0.8610
1994-09-30;0.8530
1994-10-04;0.8490
1994-10-05;0.8470
1994-10-06;0.8460
1994-10-07;0.8440
1994-10-10;0.8390
1994-10-11;0.8350
1994-10-13;0.8360
1994-10-14;0.8290
1994-10-17;0.8290
1994-10-18;0.8470
1994-10-19;0.8530
1994-10-20;0.8560
1994-10-21;0.8530
1994-10-24;0.8530
1994-10-25;0.8540
1994-10-26;0.8560
1994-10-27;0.8520
1994-10-28;0.8500
1994-10-31;0.8460
1994-11-01;0.8450
1994-11-03;0.8460
1994-11-04;0.8450
1994-11-07;0.8400
1994-11-08;0.8340
1994-11-09;0.8310
1994-11-10;0.8340
1994-11-11;0.8380
1994-11-14;0.8380
1994-11-16;0.8330
1994-11-17;0.8330
1994-11-18;0.8360
1994-11-21;0.8350
1994-11-22;0.8360
1994-11-23;0.8430
1994-11-24;0.8540
1994-11-25;0.8590
1994-11-28;0.8570
1994-11-29;0.8530
1994-11-30;0.8450
1994-12-01;0.8480
1994-12-02;0.8570
1994-12-05;0.8580
1994-12-06;0.8460
1994-12-07;0.8470
1994-12-08;0.8470
1994-12-09;0.8480
1994-12-12;0.8440
1994-12-13;0.8430
1994-12-14;0.8470
1994-12-15;0.8510
1994-12-16;0.8490
1994-12-19;0.8480
1994-12-20;0.8500
1994-12-21;0.8530
1994-12-22;0.8600
1994-12-23;0.8550
1994-12-26;0.8500
1994-12-27;0.8520
1994-12-28;0.8560
