Fonte: http://pt.wikipedia.org/wiki/Anexo:Lista_de_presidentes_do_Brasil
Presidente,Início do mandato,Fim do mandato,Partido
38,"Dilma Rousseff",2011-01-01,2011-08-01,"PT"
37,"Luiz Inácio Lula da Silva",2003-01-01,2011-01-01,"PT"
36,"Fernando Henrique Cardoso",1995-01-01,2003-01-01,"PSDB"
35,"Itamar Franco",1992-12-29,1995-01-01,"PRN"
34,"Fernando Collor",1990-03-15,1992-12-29,"PRN"
33,"José Sarney",1985-03-15,1990-03-15,"PMDB"
32,"João Figueiredo",1979-03-15,1985-03-15,"PDS"
31,"Ernesto Geisel",1974-03-15,1979-03-15,"ARENA"
30,"Garrastazu Medici",1969-10-30,1974-03-15,"ARENA"
29,"Junta Governativa Provisória de 1969",1969-08-31,1969-10-30,"Militar"
28,"Costa e Silva",1967-03-15,1969-08-31,"ARENA"
27,"Castelo Branco",1964-04-15,1967-03-15,"ARENA"
26,"Ranieri Mazzilli",1964-04-02,1964-04-15,"PSD"
25,"João Goulart",1961-09-07,1964-04-01,"PTB"
24,"Ranieri Mazzilli",1961-08-25,1961-09-07,"PSD"
23,"Jânio Quadros",1961-01-31,1961-08-25,"PTN"
22,"Juscelino Kubitschek",1956-01-31,1961-01-31,"PSD"
21,"Nereu Ramos",1955-11-11,1956-01-31,"PSD"
20,"Carlos Luz",1955-11-08,1955-11-11,"PSD"
19,"Café Filho",1954-08-24,1955-11-08,"PSP"
18,"Getúlio Vargas",1951-01-31,1954-08-24,"PTB"
17,"Eurico Gaspar Dutra",1946-01-31,1951-01-31,"PSD"
16,"José Linhares",1945-10-29,1946-01-13,""
15,"Getúlio Vargas",1930-11-03,1945-10-29,"AL"
14,"Augusto Fragoso-Isaías de Noronha-Mena Barreto",1930-10-24,1930-11-03,"Militar"
13,"Washington Luís",1926-11-15,1930-10-24,"PRP"
12,"Artur Bernardes",1922-11-15,1926-11-15,"PRM"
11,"Epitácio Pessoa",1919-07-28,1922-11-15,"PRM"
10,"Delfim Moreira",1918-11-15,1919-07-28,"PRM"
09,"Venceslau Brás",1914-11-15,1918-11-15,"PRM"
08,"Hermes da Fonseca",1910-11-15,1914-11-15,"PRC"
07,"Nilo Peçanha",1909-06-14,1910-11-15,"PRF"
06,"Afonso Pena",1906-11-15,1909-06-14,"PRM"
05,"Rodrigues Alves",1902-11-15,1906-11-15,"PRP"
04,"Campos Sales",1898-11-15,1902-11-15,"PRP"
03,"Prudente de Morais",1894-11-15,1898-11-15,"PR Federal"
02,"Floriano Peixoto",1891-11-23,1894-11-15,"Militar"
01,"Deodoro da Fonseca",1889-11-15,1891-11-23,"Militar"
